,postcode
301,2375
302,2173
303,2491
304,2136
305,2335
306,2323
307,2328
308,2104
309,2203
310,2381
311,2158
312,2353
313,2269
314,2495
315,2193
316,2293
317,2141
318,2263
319,2349
320,2304
321,2200
322,2103
323,2157
324,2466
325,2274
326,2376
327,2281
328,2494
329,2117
330,2366
331,2157
332,2437
333,2319
334,2151
335,2378
336,2412
337,2123
338,2331
339,2303
340,2126
341,2498
342,2271
343,2241
344,2496
345,2229
346,2461
347,2158
348,2425
349,2346
350,2431
351,2323
352,2304
353,2336
354,2298
355,2489
356,2273
357,2105
358,2436
359,2127
360,2129
361,2155
362,2135
363,2252
364,2139
365,2371
366,2386
367,2117
368,2264
369,2229
370,2428
371,2190
372,2423
373,2122
374,2246
375,2264
376,2322
377,2188
378,2456
379,2162
380,2180
381,2339
382,2221
383,2380
384,2194
385,2395
386,2455
387,2380
388,2156
389,2491
390,2274
391,2295
392,2477
393,2175
394,2280
395,2450
396,2126
397,2120
398,2423
399,2270
400,2115
401,2283
402,2458
403,2115
404,2195
405,2310
406,2479
407,2445
408,2111
409,2239
410,2252
411,2255
412,2153
413,2417
414,2150
415,2486
416,2367
417,2423
418,2224
419,2295
420,2283
421,2138
422,2356
423,2254
424,2280
425,2377
426,2266
427,2123
428,2431
429,2383
430,2107
431,2121
432,2464
433,2217
434,2175
435,2294
436,2235
437,2215
438,2414
439,2387
440,2163
441,2256
442,2137
443,2382
444,2315
445,2398
446,2219
447,2345
448,2288
449,2197
450,2354
451,2363
452,2212
453,2260
454,2417
455,2358
456,2386
457,2330
458,2305
459,2183
460,2109
461,2403
462,2397
463,2160
464,2359
465,2347
466,2473
467,2197
468,2360
469,2126
470,2259
471,2351
472,2104
473,2430
474,2256
475,2213
476,2124
477,2306
478,2157
479,2175
480,2177
481,2304
482,2291
483,2489
484,2121
485,2283
486,2340
487,2165
488,2474
489,2480
490,2100
491,2200
492,2271
493,2205
494,2339
495,2321
496,2401
497,2118
498,2226
499,2356
500,2117
501,2448
502,2395
503,2333
504,2308
505,2445
506,2222
507,2206
508,2459
509,2398
510,2388
511,2374
512,2364
513,2151
514,2351
515,2229
516,2475
517,2423
518,2268
519,2491
520,2320
521,2448
522,2124
523,2245
524,2330
525,2406
526,2494
527,2480
528,2287
529,2114
530,2295
531,2297
532,2107
533,2135
534,2330
535,2209
536,2270
537,2191
538,2152
539,2187
540,2132
541,2468
542,2479
543,2400
544,2241
545,2137
546,2137
547,2181
548,2227
549,2261
550,2488
551,2232
552,2342
553,2252
554,2272
555,2375
556,2339
557,2398
558,2331
559,2211
560,2460
561,2430
562,2121
563,2446
564,2432
565,2260
566,2419
567,2105
568,2337
569,2118
570,2439
571,2268
572,2218
573,2455
574,2131
575,2349
576,2419
577,2173
578,2118
579,2242
580,2145
581,2313
582,2489
583,2364
584,2196
585,2136
586,2459
587,2438
588,2352
589,2315
590,2237
591,2151
592,2449
593,2283
594,2175
595,2372
596,2198
597,2129
598,2125
599,2110
600,2229
601,2310
602,2243
603,2490
604,2209
605,2364
606,2465
607,2159
608,2240
609,2452
610,2390
611,2191
612,2404
613,2185
614,2189
615,2228
616,2338
617,2151
618,2478
619,2362
620,2495
621,2304
622,2215
623,2320
624,2187
625,2275
626,2459
627,2498
628,2497
629,2336
630,2461
631,2496
632,2193
633,2419
634,2428
635,2476
636,2309
637,2298
638,2319
639,2211
640,2141
641,2125
642,2431
643,2483
644,2230
645,2363
646,2255
647,2107
648,2357
649,2481
650,2418
651,2332
652,2418
653,2425
654,2437
655,2175
656,2183
657,2327
658,2109
659,2303
660,2122
661,2391
662,2381
663,2376
664,2126
665,2421
666,2252
667,2408
668,2214
669,2194
670,2134
671,2480
672,2126
673,2102
674,2158
675,2403
676,2386
677,2121
678,2332
679,2478
680,2251
681,2139
682,2419
683,2164
684,2276
685,2498
686,2169
687,2221
688,2249
689,2103
690,2299
691,2411
692,2227
693,2178
694,2297
695,2109
696,2133
697,2450
698,2193
699,2315
700,2423
701,2266
702,2417
703,2238
704,2443
705,2442
706,2242
707,2352
708,2430
709,2295
710,2443
711,2482
712,2474
713,2481
714,2235
715,2362
716,2346
717,2299
718,2476
719,2444
720,2213
721,2375
722,2467
723,2324
724,2340
725,2139
726,2373
727,2263
728,2150
729,2316
730,2490
731,2268
732,2339
733,2313
734,2158
735,2366
736,2197
737,2284
738,2464
739,2307
740,2361
741,2123
742,2203
743,2157
744,2106
745,2246
746,2330
747,2142
748,2397
749,2365
750,2221
751,2424
752,2460
753,2428
754,2397
755,2375
756,2279
757,2459
758,2254
759,2106
760,2329
761,2377
762,2140
763,2223
764,2484
765,2332
766,2397
767,2219
768,2377
769,2420
770,2186
771,2500
772,2164
773,2163
774,2436
775,2199
776,2391
777,2334
778,2127
779,2422
780,2298
781,2130
782,2106
783,2258
784,2370
785,2134
786,2322
787,2340
788,2233
789,2455
790,2215
791,2469
792,2100
793,2305
794,2196
795,2412
796,2306
797,2492
798,2332
799,2475
800,2241
801,2104
802,2253
803,2253
804,2113
805,2452
806,2187
807,2473
808,2161
809,2439
810,2210
811,2497
812,2446
813,2156
814,2154
815,2210
816,2225
817,2468
818,2387
819,2143
820,2497
821,2474
822,2196
823,2120
824,2431
825,2260
826,2206
827,2403
828,2200
829,2158
830,2319
831,2128
832,2100
833,2115
834,2339
835,2290
836,2284
837,2313
838,2220
839,2137
840,2460
841,2279
842,2439
843,2209
844,2327
845,2217
846,2132
847,2178
848,2484
849,2185
850,2293
851,2121
852,2333
853,2453
854,2214
855,2436
856,2324
857,2257
858,2337
859,2221
860,2215
861,2370
862,2476
863,2457
864,2428
865,2431
866,2412
867,2467
868,2111
869,2250
870,2433
871,2240
872,2463
873,2214
874,2481
875,2437
876,2230
877,2182
878,2380
879,2361
880,2478
881,2148
882,2184
883,2181
884,2172
885,2318
886,2335
887,2412
888,2265
889,2434
890,2184
891,2422
892,2484
893,2200
894,2117
895,2334
896,2150
897,2422
898,2393
899,2103
900,2260
901,2183
902,2464
903,2143
904,2379
905,2194
906,2118
907,2467
908,2304
909,2343
910,2456
911,2311
912,2292
913,2199
914,2219
915,2496
916,2265
917,2162
918,2496
919,2343
920,2359
921,2319
922,2242
923,2359
924,2195
925,2200
926,2320
927,2484
928,2419
929,2141
930,2365
931,2357
932,2342
933,2303
934,2357
935,2223
936,2153
937,2210
938,2176
939,2197
940,2152
941,2115
942,2202
943,2458
944,2363
945,2465
946,2125
947,2277
948,2366
949,2262
950,2288
951,2194
952,2221
953,2230
954,2109
955,2320
956,2202
957,2336
958,2243
959,2101
960,2237
961,2156
962,2141
963,2498
964,2255
965,2456
966,2103
967,2247
968,2495
969,2322
970,2477
971,2176
972,2141
973,2315
974,2567
975,2600
976,2700
977,2500
978,2591
979,2677
980,2579
981,2582
982,2698
983,2503
984,2546
985,2683
986,2510
987,2685
988,2691
989,2695
990,2597
991,2584
992,2660
993,2515
994,2640
995,2557
996,2506
997,2531
998,2698
999,2651
1000,2626
1001,2591
1002,2501
1003,2582
1004,2525
1005,2660
1006,2561
1007,2636
1008,2671
1009,2622
1010,2592
1011,2535
1012,2647
1013,2617
1014,2560
1015,2584
1016,2655
1017,2546
1018,2533
1019,2545
1020,2558
1021,2669
1022,2621
1023,2514
1024,2665
1025,2573
1026,2590
1027,2617
1028,2550
1029,2655
1030,2631
1031,2594
1032,2586
1033,2503
1034,2538
1035,2686
1036,2575
1037,2526
1038,2631
1039,2627
1040,2679
1041,2689
1042,2589
1043,2557
1044,2567
1045,2696
1046,2662
1047,2607
1048,2698
1049,2539
1050,2645
1051,2576
1052,2651
1053,2570
1054,2687
1055,2661
1056,2583
1057,2630
1058,2645
1059,2588
1060,2596
1061,2518
1062,2506
1063,2517
1064,2577
1065,2613
1066,2599
1067,2546
1068,2571
1069,2516
1070,2639
1071,2617
1072,2682
1073,2587
1074,2564
1075,2588
1076,2512
1077,2592
1078,2586
1079,2601
1080,2676
1081,2506
1082,2623
1083,2661
1084,2589
1085,2623
1086,2548
1087,2582
1088,2505
1089,2587
1090,2624
1091,2676
1092,2586
1093,2601
1094,2636
1095,2552
1096,2674
1097,2642
1098,2536
1099,2515
1100,2572
1101,2652
1102,2517
1103,2670
1104,2566
1105,2652
1106,2694
1107,2542
1108,2550
1109,2661
1110,2534
1111,2602
1112,2584
1113,2685
1114,2502
1115,2572
1116,2584
1117,2615
1118,2636
1119,2567
1120,2547
1121,2616
1122,2670
1123,2665
1124,2562
1125,2551
1126,2672
1127,2686
1128,2576
1129,2667
1130,2614
1131,2654
1132,2601
1133,2544
1134,2660
1135,2556
1136,2623
1137,2570
1138,2531
1139,2629
1140,2667
1141,2647
1142,2698
1143,2591
1144,2637
1145,2605
1146,2547
1147,2565
1148,2524
1149,2689
1150,2502
1151,2555
1152,2513
1153,2593
1154,2613
1155,2536
1156,2568
1157,2555
1158,2663
1159,2640
1160,2522
1161,2502
1162,2543
1163,2695
1164,2608
1165,2535
1166,2697
1167,2666
1168,2688
1169,2632
1170,2534
1171,2661
1172,2575
1173,2640
1174,2533
1175,2639
1176,2523
1177,2698
1178,2668
1179,2626
1180,2593
1181,2573
1182,2617
1183,2584
1184,2642
1185,2566
1186,2674
1187,2583
1188,2610
1189,2622
1190,2605
1191,2663
1192,2503
1193,2648
1194,2541
1195,2546
1196,2575
1197,2618
1198,2678
1199,2700
1200,2687
1201,2593
1202,2581
1203,2555
1204,2526
1205,2536
1206,2645
1207,2530
1208,2625
1209,2665
1210,2523
1211,2649
1212,2537
1213,2699
1214,2548
1215,2625
1216,2670
1217,2540
1218,2569
1219,2500
1220,2652
1221,2536
1222,2520
1223,2527
1224,2549
1225,2648
1226,2677
1227,2584
1228,2540
1229,2662
1230,2659
1231,2505
1232,2511
1233,2653
1234,2580
1235,2562
1236,2692
1237,2680
1238,2569
1239,2573
1240,2657
1241,2535
1242,2630
1243,2697
1244,2666
1245,2546
1246,2650
1247,2539
1248,2540
1249,2635
1250,2624
1251,2626
1252,2554
1253,2585
1254,2505
1255,2554
1256,2660
1257,2597
1258,2658
1259,2670
1260,2654
1261,2587
1262,2681
1263,2626
1264,2628
1265,2596
1266,2660
1267,2620
1268,2646
1269,2591
1270,2506
1271,2522
1272,2687
1273,2505
1274,2546
1275,2607
1276,2539
1277,2512
1278,2610
1279,2543
1280,2589
1281,2626
1282,2673
1283,2672
1284,2500
1285,2520
1286,2679
1287,2640
1288,2616
1289,2561
1290,2626
1291,2647
1292,2596
1293,2564
1294,2674
1295,2593
1296,2681
1297,2643
1298,2622
1299,2674
1300,2678
1301,2635
1302,2527
1303,2569
1304,2605
1305,2618
1306,2556
1307,2617
1308,2575
1309,2663
1310,2648
1311,2697
1312,2613
1313,2625
1314,2561
1315,2668
1316,2543
1317,2508
1318,2619
1319,2577
1320,2656
1321,2618
1322,2648
1323,2591
1324,2593
1325,2687
1326,2609
1327,2571
1328,2689
1329,2555
1330,2694
1331,2616
1332,2591
1333,2508
1334,2566
1335,2682
1336,2533
1337,2589
1338,2685
1339,2686
1340,2643
1341,2537
1342,2570
1343,2548
1344,2503
1345,2551
1346,2554
1347,2555
1348,2584
1349,2637
1350,2531
1351,2634
1352,2600
1353,2593
1354,2648
1355,2685
1356,2639
1357,2533
1358,2614
1359,2579
1360,2630
1361,2593
1362,2661
1363,2647
1364,2649
1365,2563
1366,2614
1367,2564
1368,2560
1369,2667
1370,2616
1371,2585
1372,2556
1373,2596
1374,2624
1375,2502
1376,2691
1377,2550
1378,2617
1379,2505
1380,2673
1381,2655
1382,2602
1383,2617
1384,2624
1385,2586
1386,2574
1387,2607
1388,2667
1389,2697
1390,2541
1391,2511
1392,2510
1393,2529
1394,2506
1395,2556
1396,2621
1397,2602
1398,2623
1399,2583
1400,2545
1401,2530
1402,2555
1403,2601
1404,2564
1405,2665
1406,2533
1407,2639
1408,2630
1409,2595
1410,2628
1411,2580
1412,2635
1413,2556
1414,2606
1415,2699
1416,2520
1417,2522
1418,2539
1419,2688
1420,2608
1421,2699
1422,2585
1423,2670
1424,2691
1425,2652
1426,2689
1427,2679
1428,2693
1429,2660
1430,2561
1431,2615
1432,2576
1433,2561
1434,2600
1435,2577
1436,2609
1437,2641
1438,2554
1439,2533
1440,2700
1441,2599
1442,2688
1443,2588
1444,2501
1445,2623
1446,2522
1447,2668
1448,2547
1449,2544
1450,2682
1451,2699
1452,2631
1453,2514
1454,2603
1455,2522
1456,2540
1457,2628
1458,2565
1459,2623
1460,2633
1461,2602
1462,2532
1463,2595
1464,2510
1465,2658
1466,2626
1467,2500
1468,2619
1469,2631
1470,2614
1471,2616
1472,2689
1473,2659
1474,2508
1475,2588
1476,2645
1477,2593
1478,2697
1479,2611
1480,2561
1481,2679
1482,2677
1483,2517
1484,2626
1485,2675
1486,2683
1487,2695
1488,2503
1489,2531
1490,2509
1491,2615
1492,2658
1493,2696
1494,2689
1495,2654
1496,2696
1497,2505
1498,2559
1499,2556
1500,2506
1501,2668
1502,2506
1503,2667
1504,2594
1505,2613
1506,2550
1507,2586
1508,2594
1509,2661
1510,2549
1511,2638
1512,2552
1513,2643
1514,2667
1515,2684
1516,2672
1517,2648
1518,2593
1519,2573
1520,2522
1521,2678
1522,2584
1523,2683
1524,2693
1525,2561
1526,2644
1527,2599
1528,2546
1529,2546
1530,2549
1531,2667
1532,2638
1533,2567
1534,2615
1535,2693
1536,2699
1537,2647
1538,2668
1539,2574
1540,2562
1541,2674
1542,2574
1543,2565
1544,2562
1545,2574
1546,2580
1547,2592
1548,2578
1549,2512
1550,2507
1551,2631
1552,2551
1553,2686
1554,2611
1555,2618
1556,2579
1557,2539
1558,2530
1559,2629
1560,2557
1561,2637
1562,2541
1563,2657
1564,2547
1565,2681
1566,2507
1567,2628
1568,2614
1569,2665
1570,2519
1571,2657
1572,2530
1573,2648
1574,2698
1575,2640
1576,2625
1577,2580
1578,2609
1579,2609
1580,2598
1581,2533
1582,2596
1583,2626
1584,2660
1585,2631
1586,2692
1587,2592
1588,2696
1589,2579
1590,2586
1591,2601
1592,2629
1593,2588
1594,2593
1595,2597
1596,2698
1597,2500
1598,2574
1599,2683
1600,2567
1601,2652
1602,2588
1603,2672
1604,2523
1605,2513
1606,2636
1607,2608
1608,2687
1609,2504
1610,2506
1611,2631
1612,2566
1613,2580
1614,2516
1615,2520
1616,2615
1617,2603
1618,2526
1619,2619
1620,2529
1621,2538
1622,2593
1623,2554
1624,2554
1625,2538
1626,2655
1627,2502
1628,2506
1629,2535
1630,2598
1631,2634
1632,2582
1633,2636
1634,2651
1635,2615
1636,2626
1637,2617
1638,2632
1639,2535
1640,2689
1641,2581
1642,2636
1643,2591
1644,2679
1645,2510
1646,2615
1647,2567
1648,2637
1649,2655
1650,2634
1651,2588
1652,2646
1653,2561
1654,2513
1655,2622
1656,2629
1657,2679
1658,2679
1659,2513
1660,2661
1661,2519
1662,2649
1663,2516
1664,2562
1665,2551
1666,2679
1667,2585
1668,2566
1669,2620
1670,2550
1671,2690
1672,2627
1673,2584
1674,2609
1675,2617
1676,2686
1677,2591
1678,2542
1679,2515
1680,2654
1681,2568
1682,2633
1683,2551
1684,2579
1685,2568
1686,2625
1687,2589
1688,2525
1689,2566
1690,2595
1691,2651
1692,2658
1693,2665
1694,2575
1695,2531
1696,2585
1697,2566
1698,2565
1699,2630
1700,2669
1701,2535
1702,2602
1703,2551
1704,2555
1705,2544
1706,2601
1707,2631
1708,2527
1709,2500
1710,2674
1711,2576
1712,2646
1713,2620
1714,2527
1715,2548
1716,2534
1717,2616
1718,2663
1719,2620
1720,2513
1721,2658
1722,2687
1723,2632
1724,2689
1725,2538
1726,2577
1727,2562
1728,2603
1729,2613
1730,2661
1731,2517
1732,2610
1733,2563
1734,2572
1735,2536
1736,2650
1737,2645
1738,2613
1739,2506
1740,2650
1741,2616
1742,2593
1743,2550
1744,2512
1745,2676
1746,2665
1747,2655
1748,2654
1749,2512
1750,2542
1751,2571
1752,2585
1753,2580
1754,2631
1755,2515
1756,2544
1757,2574
1758,2600
1759,2586
1760,2692
1761,2573
1762,2659
1763,2604
1764,2635
1765,2659
1766,2503
1767,2639
1768,2631
1769,2529
1770,2636
1771,2602
1772,2637
1773,2508
1774,2597
1775,2646
1776,2628
1777,2600
1778,2512
1779,2620
1780,2572
1781,2659
1782,2632
1783,2694
1784,2542
1785,2553
1786,2617
1787,2678
1788,2573
1789,2666
1790,2617
1791,2670
1792,2554
1793,2642
1794,2554
1795,2610
1796,2693
1797,2596
1798,2515
1799,2673
1800,2541
1801,2558
1802,2574
1803,2596
1804,2543
1805,2646
1806,2596
1807,2504
1808,2573
1809,2625
1810,2531
1811,2666
1812,2567
1813,2697
1814,2528
1815,2564
1816,2671
1817,2674
1818,2608
1819,2501
1820,2615
1821,2674
1822,2631
1823,2549
1824,2554
1825,2578
1826,2606
1827,2643
1828,2501
1829,2651
1830,2643
1831,2509
1832,2693
1833,2581
1834,2612
1835,2536
1836,2560
1837,2513
1838,2501
1839,2626
1840,2669
1841,2508
1842,2647
1843,2604
1844,2692
1845,2552
1846,2592
1847,2610
1848,2684
1849,2672
1850,2671
1851,2644
1852,2668
1853,2629
1854,2690
1855,2560
1856,2577
1857,2514
1858,2517
1859,2592
1860,2630
1861,2593
1862,2577
1863,2608
1864,2660
1865,2546
1866,2631
1867,2526
1868,2540
1869,2663
1870,2560
1871,2623
1872,2503
1873,2696
1874,2571
1875,2548
1876,2665
1877,2578
1878,2676
1879,2688
1880,2530
1881,2566
1882,2680
1883,2523
1884,2647
1885,2698
1886,2660
1887,2676
1888,2516
1889,2689
1890,2547
1891,2539
1892,2602
1893,2608
1894,2510
1895,2579
1896,2574
1897,2608
1898,2555
1899,2582
1900,2532
1901,2592
1902,2662
1903,2651
1904,2682
1905,2687
1906,2684
1907,2623
1908,2602
1909,2645
1910,2511
1911,2608
1912,2663
1913,2612
1914,2641
1915,2631
1916,2692
1917,2645
1918,2650
1919,2622
1920,2610
1921,2522
1922,2656
1923,2594
1924,2575
1925,2600
1926,2619
1927,2601
1928,2501
1929,2576
1930,2570
1931,2672
1932,2653
1933,2555
1934,2609
1935,2682
1936,2622
1937,2676
1938,2658
1939,2571
1940,2616
1941,2573
1942,2587
1943,2514
1944,2639
1945,2614
1946,2682
1947,2632
1948,2693
1949,2509
1950,2678
1951,2503
1952,2633
1953,2584
1954,2571
1955,2624
1956,2550
1957,2692
1958,2689
1959,2519
1960,2684
1961,2552
1962,2520
1963,2689
1964,2598
1965,2542
1966,2687
1967,2522
1968,2656
1969,2523
1970,2616
1971,2653
1972,2558
1973,2620
1974,2530
1975,2665
1976,2676
1977,2541
1978,2565
1979,2699
1980,2645
1981,2635
1982,2634
1983,2693
1984,2679
1985,2524
1986,2637
1987,2576
1988,2697
1989,2665
1990,2610
1991,2570
1992,2682
1993,2571
1994,2597
1995,2565
1996,2527
1997,2697
1998,2633
1999,2610
2000,2667
2001,2511
2002,2546
2003,2519
2004,2601
2005,2674
2006,2574
2007,2587
2008,2558
2009,2624
2010,2694
2011,2699
2012,2558
2013,2631
2014,2664
2015,2650
2016,2682
2017,2567
2018,2623
2019,2652
2020,2632
2021,2649
2022,2525
2023,2679
2024,2554
2025,2646
2026,2678
2027,2697
2028,2527
2029,2603
2030,2627
2031,2572
2032,2690
2033,2585
2034,2608
2035,2569
2036,2541
2037,2573
2038,2544
2039,2659
2040,2591
2041,2606
2042,2685
2043,2684
2044,2583
2045,2612
2046,2613
2047,2686
2048,2648
2049,2541
2050,2659
2051,2575
2052,2534
2053,2556
2054,2636
2055,2529
2056,2562
2057,2617
2058,2628
2059,2650
2060,2689
2061,2663
2062,2653
2063,2597
2064,2661
2065,2677
2066,2690
2067,2667
2068,2524
2069,2639
2070,2665
2071,2607
2072,2505
2073,2501
2074,2681
2075,2543
2076,2547
2077,2691
2078,2602
2079,2657
2080,2514
2081,2535
2082,2511
2083,2675
2084,2560
2085,2633
2086,2631
2087,2675
2088,2605
2089,2622
2090,2610
2091,2569
2092,2642
2093,2620
2094,2700
2095,2634
2096,2626
2097,2639
2098,2599
2099,2626
2100,2675
2101,2531
2102,2621
2103,2651
2104,2607
2105,2653
2106,2608
2107,2606
2108,2657
2109,2617
2110,2504
2111,2679
2112,2537
2113,2538
2114,2538
2115,2597
2116,2655
2117,2607
2118,2688
2119,2552
2120,2675
2121,2545
2122,2670
2123,2544
2124,2601
2125,2593
2126,2612
2127,2673
2128,2633
2129,2581
2130,2615
2131,2601
2132,2540
2133,2540
2134,2685
2135,2672
2136,2683
2137,2675
2138,2671
2139,2527
2140,2612
2141,2685
2142,2651
2143,2502
2144,2691
2145,2556
2146,2534
2147,2625
2148,2575
2149,2557
2150,2654
2151,2669
2152,2506
2153,2642
2154,2639
2155,2573
2156,2623
2157,2560
2158,2544
2159,2669
2160,2526
2161,2623
2162,2687
2163,2532
2164,2674
2165,2533
2166,2654
2167,2531
2168,2571
2169,2647
2170,2591
2171,2692
2172,2545
2173,2565
2174,2694
2175,2536
2176,2681
2177,2544
2178,2615
2179,2549
2180,2589
2181,2664
2182,2558
2183,2593
2184,2540
2185,2674
2186,2549
2187,2529
2188,2570
2189,2689
2190,2526
2191,2670
2192,2586
2193,2500
2194,2547
2195,2568
2196,2663
2197,2662
2198,2551
2199,2530
2200,2591
2201,2643
2202,2564
2203,2513
2204,2505
2205,2567
2206,2528
2207,2606
2208,2585
2209,2514
2210,2515
2211,2648
2212,2654
2213,2529
2214,2582
2215,2593
2216,2516
2217,2551
2218,2637
2219,2506
2220,2518
2221,2682
2222,2566
2223,2669
2224,2634
2225,2640
2226,2567
2227,2524
2228,2601
2229,2510
2230,2562
2231,2502
2232,2552
2233,2540
2234,2674
2235,2500
2236,2583
2237,2612
2238,2517
2239,2609
2240,2576
2241,2566
2242,2561
2243,2670
2244,2528
2245,2693
2246,2690
2247,2542
2248,2579
2249,2524
2250,2626
2251,2637
2252,2681
2253,2679
2254,2643
2255,2519
2256,2519
2257,2557
2258,2618
2259,2588
2260,2568
2261,2568
2262,2650
2263,2652
2264,2580
2265,2687
2266,2646
2267,2527
2268,2638
2269,2698
2270,2506
2271,2661
2272,2550
2273,2617
2274,2637
2275,2551
2276,2603
2277,2501
2278,2666
2279,2534
2280,2585
2281,2538
2282,2572
2283,2665
2284,2605
2285,2568
2286,2596
2287,2599
2288,2608
2289,2682
2290,2584
2291,2673
2292,2512
2293,2545
2294,2607
2295,2590
2296,2679
2297,2522
2298,2697
2299,2566
2300,2516
2301,2541
2302,2602
2303,2652
2304,2684
2305,2530
2306,2591
2307,2695
2308,2693
2309,2569
2310,2607
2311,2645
2312,2685
2313,2623
2314,2647
2315,2665
2316,2540
2317,2577
2318,2605
2319,2676
2320,2526
2321,2661
2322,2594
2323,2664
2324,2674
2325,2537
2326,2519
2327,2684
2328,2615
2329,2639
2330,2679
2331,2601
2332,2644
2333,2700
2334,2680
2335,2555
2336,2595
2337,2690
2338,2612
2339,2523
2340,2696
2341,2643
2342,2650
2343,2631
2344,2565
2345,2549
2346,2671
2347,2616
2348,2560
2349,2506
2350,2553
2351,2677
2352,2644
2353,2538
2354,2563
2355,2508
2356,2527
2357,2642
2358,2548
2359,2641
2360,2517
2361,2594
2362,2660
2363,2502
2364,2564
2365,2647
2366,2636
2367,2621
2368,2531
2369,2626
2370,2652
2371,2615
2372,2660
2373,2657
2374,2627
2375,2534
2376,2694
2377,2699
2378,2569
2379,2552
2380,2569
2381,2627
2382,2651
2383,2588
2384,2508
2385,2625
2386,2500
2387,2573
2388,2671
2389,2562
2390,2594
2391,2692
2392,2573
2393,2556
2394,2690
2395,2567
2396,2657
2397,2524
2398,2605
2399,2581
2400,2699
2401,2678
2402,2684
2403,2675
2404,2556
2405,2585
2406,2686
2407,2671
2408,2683
2409,2636
2410,2676
2411,2647
2412,2690
2413,2555
2414,2615
2415,2598
2416,2548
2417,2657
2418,2520
2419,2531
2420,2509
2421,2607
2422,2567
2423,2652
2424,2621
2425,2581
2426,2597
2427,2637
2428,2647
2429,2666
2430,2656
2431,2552
2432,2553
2433,2588
2434,2571
2435,2627
2436,2634
2437,2588
2438,2550
2439,2527
2440,2501
2441,2502
2442,2679
2443,2554
2444,2662
2445,2511
2446,2681
2447,2685
2448,2546
2449,2696
2450,2539
2451,2563
2452,2644
2453,2504
2454,2583
2455,2614
2456,2601
2457,2543
2458,2695
2459,2661
2460,2589
2461,2658
2462,2577
2463,2622
2464,2675
2465,2669
2466,2526
2467,2548
2468,2640
2469,2657
2470,2650
2471,2620
2472,2534
2473,2615
2474,2694
2475,2550
2476,2662
2477,2668
2478,2649
2479,2669
2480,2687
2481,2606
2482,2533
2483,2593
2484,2579
2485,2543
2486,2635
2487,2671
2488,2565
2489,2540
2490,2536
2491,2622
2492,2689
2493,2581
2494,2688
2495,2536
2496,2641
2497,2509
2498,2550
